23 三月 2015 | 16:00:06,226 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 4, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:12907 }
23 三月 2015 | 16:00:06,227 | INFO  | MPWorker:Ext:4 | Extensions |     | {extension - test }: ggg2离开! 
23 三月 2015 | 16:00:06,228 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg2, Id: 4, Priv: 0, Sess: 127.0.0.1:12907 ) , SessionLen: 216310, Type: C#MonoOrWin
23 三月 2015 | 16:00:06,228 | INFO  | SocketReader | bitswarm.core.SocketReader |     | Socket closed: java.nio.channels.SocketChannel[closed]
23 三月 2015 | 16:00:22,951 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 6, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13004 } on Server linkPort: 9934 <---> 13004
23 三月 2015 | 16:00:22,951 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 7, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13005 } on Server linkPort: 9934 <---> 13005
23 三月 2015 | 16:00:23,114 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg2, Id: 5, Priv: 0, Sess: 127.0.0.1:13004 ) , Type: C#MonoOrWin
23 三月 2015 | 16:00:23,370 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg1, Id: 6, Priv: 0, Sess: 127.0.0.1:13005 ) , Type: C#MonoOrWin
23 三月 2015 | 16:00:23,374 | INFO  | MPWorker:Ext:3 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:00:23,379 | INFO  | MPWorker:Ext:4 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:00:30,104 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 7, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13005 }
23 三月 2015 | 16:00:30,105 | INFO  | MPWorker:Ext:1 | Extensions |     | {extension - test }: ggg1离开! 
23 三月 2015 | 16:00:30,105 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg1, Id: 6, Priv: 0, Sess: 127.0.0.1:13005 ) , SessionLen: 6735, Type: C#MonoOrWin
23 三月 2015 | 16:00:30,105 | INFO  | SocketReader | bitswarm.core.SocketReader |     | Socket closed: java.nio.channels.SocketChannel[closed]
23 三月 2015 | 16:02:52,318 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 6, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13004 }
23 三月 2015 | 16:02:52,319 | INFO  | MPWorker:Ext:2 | Extensions |     | {extension - test }: ggg2离开! 
23 三月 2015 | 16:02:52,320 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg2, Id: 5, Priv: 0, Sess: 127.0.0.1:13004 ) , SessionLen: 149205, Type: C#MonoOrWin
23 三月 2015 | 16:02:52,320 | INFO  | SocketReader | bitswarm.core.SocketReader |     | Socket closed: java.nio.channels.SocketChannel[closed]
23 三月 2015 | 16:04:11,936 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 8, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13106 } on Server linkPort: 9934 <---> 13106
23 三月 2015 | 16:04:11,936 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 9, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13107 } on Server linkPort: 9934 <---> 13107
23 三月 2015 | 16:04:12,118 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg1, Id: 7, Priv: 0, Sess: 127.0.0.1:13106 ) , Type: C#MonoOrWin
23 三月 2015 | 16:04:12,124 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg2, Id: 8, Priv: 0, Sess: 127.0.0.1:13107 ) , Type: C#MonoOrWin
23 三月 2015 | 16:04:12,398 | INFO  | MPWorker:Ext:1 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:04:12,403 | INFO  | MPWorker:Ext:2 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:04:17,336 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 8, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13106 }
23 三月 2015 | 16:04:17,337 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg1, Id: 7, Priv: 0, Sess: 127.0.0.1:13106 ) , SessionLen: 5219, Type: C#MonoOrWin
23 三月 2015 | 16:04:17,337 | INFO  | SocketReader | bitswarm.core.SocketReader |     | Socket closed: java.nio.channels.SocketChannel[closed]
23 三月 2015 | 16:04:17,338 | INFO  | MPWorker:Ext:3 | Extensions |     | {extension - test }: ggg1离开! 
23 三月 2015 | 16:04:17,338 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 9, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13107 }
23 三月 2015 | 16:04:17,338 | INFO  | MPWorker:Ext:4 | Extensions |     | {extension - test }: ggg2离开! 
23 三月 2015 | 16:04:17,339 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg2, Id: 8, Priv: 0, Sess: 127.0.0.1:13107 ) , SessionLen: 5215, Type: C#MonoOrWin
23 三月 2015 | 16:04:17,339 | INFO  | SocketReader | bitswarm.core.SocketReader |     | Socket closed: java.nio.channels.SocketChannel[closed]
23 三月 2015 | 16:05:37,316 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 10, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13151 } on Server linkPort: 9934 <---> 13151
23 三月 2015 | 16:05:37,316 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 11, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13150 } on Server linkPort: 9934 <---> 13150
23 三月 2015 | 16:05:37,552 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg1, Id: 9, Priv: 0, Sess: 127.0.0.1:13150 ) , Type: C#MonoOrWin
23 三月 2015 | 16:05:37,558 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg2, Id: 10, Priv: 0, Sess: 127.0.0.1:13151 ) , Type: C#MonoOrWin
23 三月 2015 | 16:05:37,810 | INFO  | MPWorker:Ext:3 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:05:37,814 | INFO  | MPWorker:Ext:4 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:05:47,201 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 11, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13150 }
23 三月 2015 | 16:05:47,202 | INFO  | MPWorker:Ext:1 | Extensions |     | {extension - test }: ggg1离开! 
23 三月 2015 | 16:05:47,202 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg1, Id: 9, Priv: 0, Sess: 127.0.0.1:13150 ) , SessionLen: 9650, Type: C#MonoOrWin
23 三月 2015 | 16:05:47,202 | INFO  | SocketReader | bitswarm.core.SocketReader |     | Socket closed: java.nio.channels.SocketChannel[closed]
23 三月 2015 | 16:05:47,203 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 10, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13151 }
23 三月 2015 | 16:05:47,203 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg2, Id: 10, Priv: 0, Sess: 127.0.0.1:13151 ) , SessionLen: 9645, Type: C#MonoOrWin
23 三月 2015 | 16:05:47,203 | INFO  | SocketReader | bitswarm.core.SocketReader |     | Socket closed: java.nio.channels.SocketChannel[closed]
23 三月 2015 | 16:05:47,205 | INFO  | MPWorker:Ext:2 | Extensions |     | {extension - test }: ggg2离开! 
23 三月 2015 | 16:16:20,345 | INFO  | main | com.mpnet.MPNetServer |     | System CPU(s): 4
23 三月 2015 | 16:16:20,346 | INFO  | main | com.mpnet.MPNetServer |     | VM Max memory: 1882 MB
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | os.name: Windows 7
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | os.arch: amd64
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | os.version: 6.1
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | java.version: 1.7.0_71
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | java.vendor: Oracle Corporation
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | java.vm.version: 24.71-b01
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | java.vm.vendor: Oracle Corporation
